modelo,falha,janela,passo_cfg,passo_real,amostras,positivos,negativos,splits_validos,accuracy,balanced_accuracy,precision_pos,recall_pos,f1_pos,specificity,tn,fp,fn,tp
mlp,queda,30,25,25,547,21,526,5,0.9824175824175824,0.8044113907958301,0.9166666666666666,0.6111111111111112,0.7333333333333333,0.9977116704782661,436,1,7,11
mlp,queda,30,30,30,456,14,442,5,0.9921052631578947,0.875,1.0,0.75,0.8571428571428571,0.9999999999972826,368,0,3,9
mlp,queda,40,5,5,2729,116,2613,5,0.9929515418502203,0.9315773674849126,0.978021978021978,0.8640776699029126,0.9175257731958762,0.9990770650664518,2165,2,14,89
mlp,queda,40,10,10,1365,59,1306,5,0.9823788546255506,0.899229348675332,0.8076923076923077,0.8076923076923077,0.8076923076923077,0.9907663896574416,1073,10,10,42
mlp,queda,40,15,15,910,41,869,5,0.9894039735099338,0.8888888888888888,1.0,0.7777777777777778,0.875,0.9999999999986092,719,0,8,28
mlp,queda,40,20,20,683,29,654,5,0.9805309734513274,0.8562962962962963,0.8181818181818182,0.72,0.7659574468085106,0.9925925925907545,536,4,7,18
mlp,queda,40,25,25,546,23,523,5,0.978021978021978,0.7738505747126436,0.9166666666666666,0.55,0.6875,0.9977011494229938,434,1,9,11
mlp,queda,40,30,30,455,19,436,5,0.984,0.8722144846796658,0.8571428571428571,0.75,0.8,0.9944289693565616,357,2,4,12
mlp,queda,40,35,35,390,16,374,5,0.9784615384615385,0.7841065686724851,0.8888888888888888,0.5714285714285714,0.6956521739130435,0.9967845659131936,310,1,6,8
mlp,queda,40,40,40,342,14,328,5,0.9894736842105263,0.875,1.0,0.75,0.8571428571428571,0.999999999996337,273,0,3,9
mlp,queda,50,5,5,2727,138,2589,5,0.9876651982378855,0.8900110193463369,0.9896907216494846,0.7804878048780488,0.8727272727272727,0.9995342338141595,2146,1,27,96
mlp,queda,50,10,10,1364,70,1294,5,0.9823788546255506,0.8463082103237832,0.9772727272727273,0.6935483870967742,0.8113207547169812,0.9990680335498611,1072,1,19,43
mlp,queda,50,15,15,909,46,863,5,0.976158940397351,0.8149723303955729,0.896551724137931,0.6341463414634146,0.7428571428571429,0.9957983193263364,711,3,15,26
mlp,queda,50,20,20,682,35,647,5,0.9787610619469026,0.8064516129032258,1.0,0.6129032258064516,0.76,0.9999999999981274,534,0,12,19
mlp,queda,50,25,25,546,30,516,5,0.978021978021978,0.8257575757575757,0.9444444444444444,0.6538461538461539,0.7727272727272727,0.9976689976666722,428,1,9,17
mlp,queda,50,30,30,455,24,431,5,0.984,0.8795399515738498,0.9411764705882353,0.7619047619047619,0.8421052631578947,0.997175141240121,353,1,5,16
mlp,queda,50,35,35,390,20,370,5,0.963076923076923,0.7026355996944232,0.7777777777777778,0.4117647058823529,0.5384615384615384,0.9935064935032679,306,2,10,7
mlp,queda,50,40,40,341,16,325,5,0.9714285714285714,0.7142857142857143,1.0,0.42857142857142855,0.6,0.9999999999962407,266,0,8,6
mlp,queda,50,45,45,303,15,288,5,0.964,0.6901979876663421,0.8333333333333334,0.38461538461538464,0.5263157894736842,0.995780590713098,236,1,8,5
mlp,queda,50,50,50,273,13,260,5,0.9777777777777777,0.7727272727272727,1.0,0.5454545454545454,0.7058823529411765,0.9999999999953272,214,0,5,6
mlp,queda,60,5,5,2725,160,2565,5,0.9806167400881057,0.8624609992734111,0.9541284403669725,0.7272727272727273,0.8253968253968254,0.9976492712736259,2122,5,39,104
mlp,queda,60,10,10,1363,81,1282,5,0.9841409691629956,0.8944222326748197,0.95,0.7916666666666666,0.8636363636363636,0.9971777986820346,1060,3,15,57
